Date Time,Baudrate,Data analog1,Data analog2
1,2020 06 16 23:19:58,115200,61,19
2,2020 06 16 23:19:58,115200,61,19
3,2020 06 16 23:19:59,115200,61,19
4,2020 06 16 23:19:59,115200,61,19
5,2020 06 16 23:20:00,115200,61,19
6,2020 06 16 23:20:00,115200,61,19
7,2020 06 16 23:20:01,115200,57,19
8,2020 06 16 23:20:01,115200,23,19
9,2020 06 16 23:20:02,115200,6,19
10,2020 06 16 23:20:02,115200,6,19
11,2020 06 16 23:20:03,115200,39,19
12,2020 06 16 23:20:03,115200,53,19
13,2020 06 16 23:20:04,115200,55,19
14,2020 06 16 23:20:04,115200,57,19
15,2020 06 16 23:20:05,115200,76,19
16,2020 06 16 23:20:05,115200,96,19
17,2020 06 16 23:20:06,115200,100,19
18,2020 06 16 23:20:06,115200,91,19
19,2020 06 16 23:20:07,115200,70,19
20,2020 06 16 23:20:07,115200,56,19
21,2020 06 16 23:20:08,115200,55,19
22,2020 06 16 23:20:08,115200,32,19
23,2020 06 16 23:20:09,115200,13,19
24,2020 06 16 23:20:09,115200,5,19
25,2020 06 16 23:20:10,115200,21,19
26,2020 06 16 23:20:10,115200,21,19
