Date Time,Baudrate,Data analog1,Data analog2
128,2020 06 16 23:24:59.444246,115200,51,0
129,2020 06 16 23:24:59.933503,115200,51,0
130,2020 06 16 23:25:00.436313,115200,50,0
131,2020 06 16 23:25:00.824096,115200,51,0
132,2020 06 16 23:25:01.429768,115200,50,0
133,2020 06 16 23:25:01.943586,115200,29,0
134,2020 06 16 23:25:02.509437,115200,15,0
135,2020 06 16 23:25:02.943732,115200,16,0
136,2020 06 16 23:25:03.438447,115200,15,0
137,2020 06 16 23:25:03.892698,115200,39,0
138,2020 06 16 23:25:04.540126,115200,53,0
139,2020 06 16 23:25:04.940708,115200,53,0
140,2020 06 16 23:25:05.439895,115200,53,0
141,2020 06 16 23:25:05.953601,115200,54,0
142,2020 06 16 23:25:06.458599,115200,53,0
143,2020 06 16 23:25:06.938241,115200,52,0
144,2020 06 16 23:25:07.460743,115200,53,0
145,2020 06 16 23:25:07.971449,115200,53,0
146,2020 06 16 23:25:08.468165,115200,53,0
147,2020 06 16 23:25:08.943492,115200,53,0
148,2020 06 16 23:25:09.430677,115200,53,0
149,2020 06 16 23:25:10.008653,115200,53,0
150,2020 06 16 23:25:10.507356,115200,53,0
151,2020 06 16 23:25:10.957605,115200,53,0
152,2020 06 16 23:25:11.464654,115200,53,0
153,2020 06 16 23:25:11.968273,115200,53,0
154,2020 06 16 23:25:12.438511,115200,53,0
155,2020 06 16 23:25:12.948514,115200,53,0
156,2020 06 16 23:25:13.479488,115200,53,0
157,2020 06 16 23:25:13.970586,115200,53,0
158,2020 06 16 23:25:14.546276,115200,53,0
159,2020 06 16 23:25:14.961885,115200,53,0
160,2020 06 16 23:25:15.460443,115200,53,0
161,2020 06 16 23:25:15.961661,115200,53,0
162,2020 06 16 23:25:16.480863,115200,53,0
163,2020 06 16 23:25:16.976203,115200,53,0
164,2020 06 16 23:25:17.458920,115200,53,0
165,2020 06 16 23:25:17.992613,115200,53,0
166,2020 06 16 23:25:18.478335,115200,53,0
167,2020 06 16 23:25:18.993682,115200,53,0
168,2020 06 16 23:25:19.478591,115200,53,0
169,2020 06 16 23:25:19.967096,115200,54,0
170,2020 06 16 23:25:20.487745,115200,54,0
171,2020 06 16 23:25:20.997678,115200,93,0
172,2020 06 16 23:25:21.480604,115200,100,0
173,2020 06 16 23:25:21.975651,115200,100,0
174,2020 06 16 23:25:22.477679,115200,100,0
175,2020 06 16 23:25:22.958403,115200,100,0
176,2020 06 16 23:25:23.506164,115200,100,0
177,2020 06 16 23:25:24.005386,115200,100,0
178,2020 06 16 23:25:24.477830,115200,100,0
179,2020 06 16 23:25:24.986015,115200,100,0
180,2020 06 16 23:25:25.459307,115200,100,0
