Date Time,Baudrate,Data analog1,Data analog2
1,2020 07 05 21:00:51.606687,85,42
2,2020 07 05 21:00:52.186354,85,42
3,2020 07 05 21:00:52.698062,85,42
4,2020 07 05 21:00:53.068849,85,42
5,2020 07 05 21:00:53.561567,85,42
6,2020 07 05 21:00:54.123266,86,41
7,2020 07 05 21:00:54.625978,99,34
8,2020 07 05 21:00:55.136686,99,28
9,2020 07 05 21:00:55.609395,99,24
10,2020 07 05 21:00:56.120104,99,27
11,2020 07 05 21:00:56.664812,87,37
12,2020 07 05 21:00:57.118552,86,37
13,2020 07 05 21:00:57.655225,78,43
14,2020 07 05 21:00:58.118980,74,50
15,2020 07 05 21:00:58.652654,70,55
16,2020 07 05 21:00:59.168379,70,55
17,2020 07 05 21:00:59.671073,63,60
18,2020 07 05 21:01:00.164791,61,63
19,2020 07 05 21:01:00.635540,64,64
20,2020 07 05 21:01:01.126259,75,59
21,2020 07 05 21:01:01.652958,82,52
22,2020 07 05 21:01:02.104679,85,44
23,2020 07 05 21:01:02.615388,91,41
24,2020 07 05 21:01:03.094113,93,41
25,2020 07 05 21:01:03.687774,93,41
26,2020 07 05 21:01:04.184489,93,40
27,2020 07 05 21:01:04.626256,93,41
28,2020 07 05 21:01:05.180939,92,41
29,2020 07 05 21:01:05.638656,79,47
30,2020 07 05 21:01:06.126378,71,54
31,2020 07 05 21:01:06.635108,69,57
32,2020 07 05 21:01:07.155788,69,57
33,2020 07 05 21:01:07.687485,69,57
34,2020 07 05 21:01:08.183202,70,57
35,2020 07 05 21:01:08.638960,70,57
36,2020 07 05 21:01:09.112668,70,57
37,2020 07 05 21:01:09.709344,70,56
38,2020 07 05 21:01:10.188054,72,56
39,2020 07 05 21:01:10.614830,81,46
40,2020 07 05 21:01:11.143507,89,39
41,2020 07 05 21:01:11.659213,91,36
42,2020 07 05 21:01:12.156947,95,36
43,2020 07 05 21:01:12.645649,99,34
44,2020 07 05 21:01:13.179343,99,34
45,2020 07 05 21:01:13.685053,99,36
46,2020 07 05 21:01:14.152785,88,44
47,2020 07 05 21:01:14.641506,81,52
48,2020 07 05 21:01:15.143238,78,58
49,2020 07 05 21:01:15.674917,76,60
50,2020 07 05 21:01:16.176627,73,61
51,2020 07 05 21:01:16.666366,68,66
52,2020 07 05 21:01:17.200041,68,66
53,2020 07 05 21:01:17.687761,78,56
54,2020 07 05 21:01:18.170506,85,50
55,2020 07 05 21:01:18.764145,91,44
56,2020 07 05 21:01:19.220885,93,43
57,2020 07 05 21:01:19.721598,88,47
58,2020 07 05 21:01:20.171361,79,59
59,2020 07 05 21:01:20.723026,77,60
